query,seed_topic
Show me all virtual events for the day,Virtual events vs in-person events
Find out if I have any online classes scheduled,Virtual events vs in-person events
Schedule a call with John tomorrow,Virtual events vs in-person events
Remind me of tonight's video conference,Virtual events vs in-person events
List today's in-person meetings only,Virtual events vs in-person events
Book a new online workshop,Virtual events vs in-person events
View my upcoming conferences,Virtual events vs in-person events
What time is my online team meeting?,Virtual events vs in-person events
Show me all events starting at 10 AM,Virtual events vs in-person events
Cancel an event with Sarah,Virtual events vs in-person events
What's my maybe event?,Events where I'm marked as 'Maybe'
Show me all the events I'm unsure about,Events where I'm marked as 'Maybe'
Find my pending events,Events where I'm marked as 'Maybe'
Show me my evening appointments,Events outside my working hours
What are the non-work hours?,Events outside my working hours
List events after 5pm today,Events outside my working hours
"I'm not working, show me social events",Events outside my working hours
What are my off-shifts this week,Events outside my working hours
Calendar - outside work hours,Events outside my working hours
Find all weekend events,Events outside my working hours
Show non-working time slots,Events outside my working hours
Evening schedule for today,Events outside my working hours
Events after business hours,Events outside my working hours
